SMILES1,SMILES2
C(=Cc1ccncc1)c1ccncc1,Oc1cccc(O)c1
c1cc(C2C(c3ccncc3)C(c3ccncc3)C2c2ccncc2)ccn1,Oc1cccc(O)c1
C(=Cc1ccncc1)c1ccncc1,COc1cc(O)cc(O)c1
Oc1cccc(O)c1,C(=Cc1ccccn1)c1ccccn1
Oc1ccc(O)cc1,NC(=O)N1c2ccccc2C=Cc2ccccc21
Oc1ccc(O)cc1,NC(=O)CN1CCCC1=O
C(#Cc1ccccn1)c1ccccn1,O=C1C(O)=C(Cl)C(=O)C(O)=C1Cl
O=C(O)c1cc2ccccc2cc1O,NC(=O)c1cccnc1
Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,CC(=O)C=C(C)O
Cn1nnc2c(C(N)=O)ncn2c1=O,COC(=O)n1cnc(C(N)=O)c1N
Cn1nnc2c(C(N)=O)ncn2c1=O,Nc1ccccc1C(=O)O
Cn1nnc2c(C(N)=O)ncn2c1=O,O=C(O)C(O)C(O)C(=O)O
Cn1nnc2c(C(N)=O)ncn2c1=O,O=C(O)C(=O)O
O=C(O)c1ccccc1O,Cn1nnc2c(C(N)=O)ncn2c1=O
O=C(O)c1cccc2cccc(C(=O)O)c12,C(=Cc1ccccn1)c1ccccn1
O=C(O)c1cccc2cccc(C(=O)O)c12,c1cc(C2C(c3ccncc3)C(c3ccncc3)C2c2ccncc2)ccn1
O=c1cccc[nH]1,O=C1C(O)=C(Cl)C(=O)C(O)=C1Cl
NC(=O)c1ccncc1,O=C(O)C1CC1
NC(=O)c1ccncc1,O=C(O)C1CCC1
NC(=O)c1ccncc1,O=C(O)C1CCCCC1
O=C(O)c1cc(O)cc(O)c1,NC(=O)c1cnccn1
COc1cc(C=CC(=O)O)ccc1O,NC(=O)c1cnccn1
c1cc(CCc2ccncc2)ccn1,Oc1cccc(O)c1
c1cc(CCc2ccncc2)ccn1,Oc1ccc(Cl)c(O)c1
NNC(=O)c1ccncc1,N#Cc1ccc(C(=O)O)cc1
NNC(=O)c1ccncc1,Nc1ccc(C(=O)O)cc1
NNC(=O)c1ccncc1,O=C(O)c1ccc([N+](=O)[O-])cc1
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,O=c1[nH]c(=O)n(C2OC(CO)C(O)C2O)cc1Br
Cc1cc(C)nc(N)n1,O=C(O)c1ccc(O)cc1
CSCOC(=O)C1(C)CC2(C)CC(C)(C1)C(=O)NC2=O,CCn1cnc2c(N)ncnc21
O=c1[nH]cc(Br)c(=O)[nH]1,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,CN(C)c1ccc(N=Nc2ccccc2C(=O)O)cc1
Cc1nc(N)nc(N)n1,Cc1cc(=O)[nH]c(=O)n1C
c1ccc(-c2ccccn2)nc1,CC(c1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(O)cc1
O=C(O)c1cc(F)c(F)c(F)c1F,Cn1c(=O)c2c(ncn2C)n(C)c1=O
Cn1c(=O)c2c(ncn2C)n(C)c1=O,O=C(O)c1c(F)cccc1F
O=C(O)c1cc(F)ccc1F,Cn1c(=O)c2c(ncn2C)n(C)c1=O
O=C(O)c1cccc(F)c1F,Cn1c(=O)c2c(ncn2C)n(C)c1=O
O=C(O)c1cccc(F)c1,Cn1c(=O)c2c(ncn2C)n(C)c1=O
O=C(O)c1ccccc1F,Cn1c(=O)c2c(ncn2C)n(C)c1=O
O=C(O)c1ccccc1,Cn1c(=O)c2c(ncn2C)n(C)c1=O
C1CNCCN1,O=[N+]([O-])c1ccc(O)cc1
Cc1cccc(Nc2ccccc2C(=O)O)c1C,C(=Cc1ccncc1)c1ccncc1
Cc1cccc(Nc2ccccc2C(=O)O)c1C,c1cc(CCc2ccncc2)ccn1
Cc1cccc(Nc2ccccc2C(=O)O)c1C,c1cc(N=Nc2ccncc2)ccn1
Cc1cccc(Nc2ccccc2C(=O)O)c1C,c1cc(CCCc2ccncc2)ccn1
COc1ccc2cc(C(C)C(=O)O)ccc2c1,c1cc(N=Nc2ccncc2)ccn1
c1cnc(C2=Nc3cccc4cccc(c34)N2)nc1,Nc1cccc2cccc(N)c12
O=C(O)C=Cc1ccccc1,Cn1c(=O)c2c(ncn2C)n(C)c1=O
O=c1cccc[nH]1,O=C(O)Cc1ccccc1
O=C(O)Cc1ccc(Cl)cc1,O=c1cccc[nH]1
O=c1cccc[nH]1,O=C(O)Cc1cccc2ccccc12
O=C(O)Cc1ccc2ccccc2c1,O=c1cccc[nH]1
NC(N)=S,O=C1C(=O)c2ccccc2-c2ccccc21
C#CC(=O)O,O=C1CNC(=O)CN1
O=C1CNC(=O)CN1,O=C1C(O)=C(Cl)C(=O)C(O)=C1Cl
O=C1CNC(=O)CN1,Oc1cc(Cl)c(O)cc1Cl
O=C(O)c1cc(O)ccc1O,O=C1CNC(=O)CN1
O=C(O)c1cc(Cl)ccc1O,O=C1CNC(=O)CN1
O=C1CNC(=O)CN1,O=C(O)C=CC(=O)O
O=C1CNC(=O)CN1,O=C(O)c1cc(O)c(C(=O)O)cc1O
O=C(O)c1cc(Cl)c(C(=O)O)cc1Cl,O=C1CNC(=O)CN1
O=C1CNC(=O)CN1,O=C1C=C(O)C(=O)C=C1O
NC(=O)c1ccncc1,CCCC=CC(=O)O
NC(=O)c1ccncc1,O=C(O)c1ccc([N+](=O)[O-])cc1
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,NC(=O)c1ccc(Cl)cc1
