INDEX,SYNONYMS,SMILES
0,molecule_0,C(=Cc1ccncc1)c1ccncc1
1,molecule_1,c1cc(C2C(c3ccncc3)C(c3ccncc3)C2c2ccncc2)ccn1
2,molecule_2,Oc1cccc(O)c1
3,molecule_3,Oc1ccc(O)cc1
4,molecule_4,C(#Cc1ccccn1)c1ccccn1
5,molecule_5,O=C(O)c1cc2ccccc2cc1O
6,molecule_6,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
7,molecule_7,Cn1nnc2c(C(N)=O)ncn2c1=O
8,molecule_8,O=C(O)c1ccccc1O
9,molecule_9,O=C(O)c1cccc2cccc(C(=O)O)c12
10,molecule_10,O=c1cccc[nH]1
11,molecule_11,NC(=O)c1ccncc1
12,molecule_12,O=C(O)c1cc(O)cc(O)c1
13,molecule_13,COc1cc(C=CC(=O)O)ccc1O
14,molecule_14,c1cc(CCc2ccncc2)ccn1
15,molecule_15,NNC(=O)c1ccncc1
16,molecule_16,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
17,molecule_17,Cc1cc(C)nc(N)n1
18,molecule_18,CSCOC(=O)C1(C)CC2(C)CC(C)(C1)C(=O)NC2=O
19,molecule_19,O=c1[nH]cc(Br)c(=O)[nH]1
20,molecule_20,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1
21,molecule_21,Cc1nc(N)nc(N)n1
22,molecule_22,c1ccc(-c2ccccn2)nc1
23,molecule_23,O=C(O)c1cc(F)c(F)c(F)c1F
24,molecule_24,Cn1c(=O)c2c(ncn2C)n(C)c1=O
25,molecule_25,O=C(O)c1cc(F)ccc1F
26,molecule_26,O=C(O)c1cccc(F)c1F
27,molecule_27,O=C(O)c1cccc(F)c1
28,molecule_28,O=C(O)c1ccccc1F
29,molecule_29,O=C(O)c1ccccc1
30,molecule_30,C1CNCCN1
31,molecule_31,Cc1cccc(Nc2ccccc2C(=O)O)c1C
32,molecule_32,COc1ccc2cc(C(C)C(=O)O)ccc2c1
33,molecule_33,c1cnc(C2=Nc3cccc4cccc(c34)N2)nc1
34,molecule_34,O=C(O)C=Cc1ccccc1
35,molecule_35,O=C(O)Cc1ccc(Cl)cc1
